2026-01-07 15:39:42 || INFO || notebook-test || Logger initialized successfully from notebook
2026-01-07 15:41:34 || INFO || tools.research || Searching destination info: Goa India travel guide
2026-01-07 15:44:55 || INFO || tools.research || Searching destination info: Goa India travel guide
2026-01-07 15:45:40 || INFO || tools.research || Searching weather info: Weather in Goa during December
2026-01-07 15:46:42 || INFO || tools.research || Searching venues: Best venues for birthday party in Goa
2026-01-07 16:08:39 || INFO || tools.planner || Calculated trip days: 6 days
2026-01-07 16:08:49 || INFO || tools.planner || Validating event day 3 / 6: True
2026-01-07 16:09:45 || INFO || tools.planner || Validating event day 10 / 6: False
2026-01-07 16:09:54 || INFO || tools.planner || Suggested rest days: [4]
2026-01-07 16:10:55 || INFO || tools.pricing || Calculated total cost: 75000
2026-01-07 16:11:10 || INFO || tools.pricing || Applied buffer: 7500
2026-01-07 16:11:34 || INFO || tools.pricing || Identified cost risks: ['Total cost exceeds budget', 'Budget margin is very tight']
2026-01-07 16:13:15 || INFO || notebook-test || All tests completed successfully
2026-01-07 18:54:42 || INFO || llm || Initializing Groq LLM
2026-01-07 18:54:43 || INFO || llm || Groq LLM initialized | model=llama-3.3-70b-versatile | temperature=0.3
2026-01-07 18:57:56 || INFO || llm || Initializing Groq LLM
2026-01-07 18:57:57 || INFO || llm || Groq LLM initialized | model=llama-3.3-70b-versatile | temperature=0.3
2026-01-07 19:00:05 || INFO || llm || Initializing Groq LLM
2026-01-07 19:00:05 || INFO || llm || Groq LLM initialized | model=llama-3.3-70b-versatile | temperature=0.3
2026-01-07 19:01:37 || INFO || llm || Initializing Groq LLM
2026-01-07 19:01:37 || INFO || llm || Groq LLM initialized | model=llama-3.3-70b-versatile | temperature=0.3
2026-01-07 19:02:07 || INFO || nodes.intent || Running intent extraction node
2026-01-07 19:02:08 || INFO || nodes.intent || Extracted user intent successfully
2026-01-07 19:02:31 || INFO || nodes.research || Running research agent
2026-01-07 19:02:31 || INFO || tools.research || Searching destination info: Goa
2026-01-07 19:02:32 || INFO || tools.research || Searching weather info: Weather in Goa during None to None
2026-01-07 19:02:37 || INFO || tools.research || Searching venues: Best venues for birthday in Goa
2026-01-07 19:02:42 || INFO || tools.research_cost || Extracting flight price range
